emp no,Full Name,Net Hourly Rate,Gorss Monthly Rate,Percent Salary Hike
STAFF-1231,Alicia Rivera,31,8386,18
STAFF-1232,Cynthia Hernandez,94,3088,11
STAFF-1233,Matthew Kim,57,12227,11
STAFF-1234,Elizabeth Martinez,39,22914,18
STAFF-1235,Terri Wilkins,77,23757,14
STAFF-1236,Larry Thompson,93,3921,14
STAFF-1237,Sara Joseph,96,24795,11
STAFF-1238,Victoria Brown,47,19345,12
STAFF-1239,Lindsey Adams,46,10589,13
STAFF-1240,Donna Rodriguez,54,6393,19
STAFF-1241,Gerald Cook,51,20943,19
STAFF-1242,Michael Vega,68,18024,14
STAFF-1243,Amber Johnson,71,15975,16
STAFF-1244,Julia Martinez,33,17799,12
STAFF-1245,Jason Rice,80,12355,11
STAFF-1246,Robert Faulkner,80,3840,13
STAFF-1247,Bryan Shields DDS,76,16192,13
STAFF-1248,Jeffrey Stevenson,97,23343,12
STAFF-1249,Samantha Cummings,38,4658,11
STAFF-1250,Jessica Oliver,46,8800,14
STAFF-1251,Mr. Christian Rodriguez,33,16822,16
STAFF-1252,Amber Thompson,86,7636,15
STAFF-1253,Charles Hale,96,2939,15
STAFF-1254,Scott Wells,59,11473,14
STAFF-1255,Dr. Morgan Miller,77,25098,12
STAFF-1256,Michael Simpson,88,4349,14
STAFF-1257,Andrea Young,43,10410,14
STAFF-1258,Mrs. Paula Lambert MD,42,23413,11
STAFF-1259,Thomas Austin,46,9125,13
STAFF-1260,Jessica Cummings,81,15891,18
STAFF-1261,Kevin Herring,54,21082,11
STAFF-1262,Michelle West,84,23490,18
STAFF-1263,Samuel Patel,35,15869,12
STAFF-1264,Martin Berg,44,5099,14
STAFF-1265,Brenda Gilbert,56,3156,15
STAFF-1266,Ricky Gibbs,85,10293,14
STAFF-1267,Ronald Turner,58,18115,16
STAFF-1268,John Jacobson,32,17218,13
STAFF-1269,Annette Smith,53,19826,14
STAFF-1270,John White,44,4167,18
STAFF-1271,Erin Clark,31,16642,16
STAFF-1272,Sabrina Harrison,31,3549,14
STAFF-1273,Jerry Higgins,92,19271,12
STAFF-1274,Eddie Bender,74,24941,16
STAFF-1275,Mark Ryan,59,17536,11
STAFF-1276,Michele Arnold,44,25388,11
STAFF-1277,Christopher Johnson,90,14908,13
STAFF-1278,Angel Harmon,92,5041,16
STAFF-1279,Jay Lopez,95,21653,13
STAFF-1280,Anthony Alexander,41,11652,19
STAFF-1281,Stefanie Santiago,96,14810,19
STAFF-1282,Jordan Gibbs,54,14199,19
STAFF-1283,William Martinez,76,12421,12
STAFF-1284,Kyle Hudson,51,4223,16
STAFF-1285,Patrick Hall,50,23447,14
STAFF-1286,Anthony Williams,77,25198,19
STAFF-1287,Alyssa Tapia,84,19948,15
STAFF-1288,Hector Douglas,81,26458,13
STAFF-1289,Jennifer Nash,86,20115,11
STAFF-1290,Alexandra Castro,55,13586,11
STAFF-1291,Edward Thomas,75,16495,12
STAFF-1292,David Oliver,63,6060,13
STAFF-1293,Amanda Swanson,78,24200,17
STAFF-1294,Christy Walker,72,11761,13
STAFF-1295,Roy Bates DVM,42,15211,12
STAFF-1296,Thomas Weaver,99,20763,16
STAFF-1297,Sean Estes,72,8841,18
STAFF-1298,Barbara Fisher,48,3995,13
STAFF-1299,Ellen Yates,77,8989,15
STAFF-1300,John Ayers,87,12313,14
STAFF-1301,Michael Hamilton,37,10503,11
STAFF-1302,Natalie Beck,88,5224,11
STAFF-1303,John Kelley,87,21624,14
STAFF-1304,Steven Wood,86,26496,15
STAFF-1305,Eric Brown,80,19711,13
STAFF-1306,Mario Fitzgerald,41,20689,15
STAFF-1307,Leah Berry,40,18611,14
STAFF-1308,George Gibson,80,24594,14
STAFF-1309,Nicole Chen DVM,79,13970,14
STAFF-1310,Katie Warren,86,19719,18
STAFF-1311,Bill Rodriguez,88,24450,13
STAFF-1312,Sabrina Morgan,70,23060,12
STAFF-1313,Darrell Powers,42,19255,12
STAFF-1314,Jessica Jones,71,25811,18
STAFF-1315,Michael Thompson,95,19863,18
STAFF-1316,Aaron Luna,46,14218,17
STAFF-1317,Jonathan Turner,35,11189,17
STAFF-1318,David Howard,57,7298,19
STAFF-1319,Loretta Johnson,90,5561,12
STAFF-1320,Victor Davis,30,16143,16
STAFF-1321,Christopher Harris,60,24539,16
STAFF-1322,Frederick Howard,79,22949,12
STAFF-1323,Eric Hartman,46,23679,13
STAFF-1324,Lisa Chavez,90,25949,13
STAFF-1325,Shelley Manning,43,20232,11
STAFF-1326,David Rodriguez,55,14720,18
STAFF-1327,Morgan Lee,97,5586,14
STAFF-1328,James Johnson,87,16213,18
STAFF-1329,Teresa Cole,42,13422,12
STAFF-1330,Adrian Wallace,69,22049,17
STAFF-1331,Michael Jackson,43,3356,13
STAFF-1332,Samantha Anderson,74,5596,12
STAFF-1333,Kimberly Roth,77,2900,12
STAFF-1334,Melissa Campbell,64,12288,14
STAFF-1335,Tom Jenkins,59,19519,16
STAFF-1336,Amy Hudson,73,6069,17
STAFF-1337,Martin Padilla,64,24444,13
STAFF-1338,Jessica Conley,58,25479,11
STAFF-1339,Morgan Bryant,80,11591,16
STAFF-1340,Matthew Williams,40,26862,20
STAFF-1341,Robert Valenzuela,67,19665,22
STAFF-1342,Karen Lee,87,24456,20
STAFF-1343,Alison Frost,42,23826,22
STAFF-1344,Leon Wilson,30,6670,20
STAFF-1345,Danielle Clark,56,6595,21
STAFF-1346,Danny Tran,39,20460,21
STAFF-1347,Matthew Perry,89,11133,21
STAFF-1348,Jeffrey Taylor,60,5640,23
STAFF-1349,Lori Mccarthy,90,10494,22
STAFF-1350,Deanna Harmon,91,18685,25
STAFF-1351,Kristin Marquez,43,23070,25
STAFF-1352,Melissa York,67,12719,25
STAFF-1353,Mrs. Diane Alexander,36,7018,21
STAFF-1354,Elizabeth Knight,54,26841,21
STAFF-1355,Jason Castillo,98,26204,23
STAFF-1356,Eric Reed,95,8978,21
STAFF-1357,Adam Williams,57,26236,21
STAFF-1358,Diana Jones,66,9238,22
STAFF-1359,Jennifer Reynolds,74,3395,23
STAFF-1360,Krista Martin,38,6161,22
STAFF-1361,Jennifer Crosby,76,11925,20
STAFF-1362,Kimberly Cooper,52,22577,22
STAFF-1363,Susan Phelps,88,10436,24
STAFF-1364,Chad Rodriguez,94,4223,21
STAFF-1365,Xavier Galloway,36,18079,20
STAFF-1366,Allison Jordan,48,5771,21
STAFF-1367,Stacey Salazar,89,5602,25
STAFF-1368,Donna Robertson,92,19246,20
STAFF-1369,William Lopez,46,15428,21
STAFF-1370,Michael Schroeder,92,20467,20
STAFF-1371,Catherine Farrell,79,26308,20
STAFF-1372,Bianca Bailey,94,20520,20
STAFF-1373,Monica Hansen,57,8952,22
STAFF-1374,Pamela Tucker,66,7693,21
STAFF-1375,Carla Castro,87,12315,25
STAFF-1376,Mark Martin,98,7975,20
STAFF-1377,Amanda Shah,93,2721,24
STAFF-1378,Mark Leon,65,3525,24
STAFF-1379,Brooke Lucas DDS,76,21412,22
STAFF-1380,Hannah Padilla,97,4585,20
STAFF-1381,Teresa Frazier,84,13084,23
STAFF-1382,Christopher Davenport,65,7914,21
STAFF-1383,Dana Gonzales,64,21072,25
STAFF-1384,Alexander Rivas,56,10138,24
STAFF-1385,Dorothy Rodriguez,93,26362,22
STAFF-1386,Shaun James,60,23037,21
STAFF-1387,James Hines,92,22128,21
STAFF-1388,Sandra Dougherty,32,6770,21
STAFF-1389,Sabrina Morrow,60,22308,20
STAFF-1390,Anthony Hawkins,36,16130,25
STAFF-1391,Ashley Moss,42,15471,25
STAFF-1392,Ricardo Sanchez,76,22456,21
STAFF-1393,Suzanne Brewer,73,19573,22
STAFF-1394,Emily Collins,85,13684,22
STAFF-1395,Ronald Williams,77,4244,20
STAFF-1396,Robert Thompson,38,17381,21
STAFF-1397,Tina Williams,87,5174,20
STAFF-1398,Elizabeth Hughes,78,13588,22
STAFF-1399,Marie Bradley,55,4944,25
STAFF-1400,Amy Bell,70,17001,21
STAFF-1401,Denise Wall,66,9732,11
STAFF-1402,Melissa Lyons,58,19555,12
STAFF-1403,Roger Taylor,100,8931,11
STAFF-1404,Yolanda Smith,33,4156,12
STAFF-1405,Peter Hicks,51,17485,11
STAFF-1406,Jose Morris,50,16154,12
STAFF-1407,Christina Jones,52,3072,15
STAFF-1408,Jennifer Giles,78,14618,16
STAFF-1409,Philip Miles,34,22262,12
STAFF-1410,Jeremy Cox,52,14630,13
STAFF-1411,Amanda Oliver,93,6208,17
STAFF-1412,Gloria Burns,38,5355,11
STAFF-1413,Brian Marshall,94,14255,12
STAFF-1414,Edwin Roberts,82,24164,11
STAFF-1415,David Martinez,92,15747,15
STAFF-1416,Janet Compton,33,26956,19
STAFF-1417,Karen Mitchell,45,10642,17
STAFF-1418,Suzanne Hughes,89,21495,17
STAFF-1419,William Wang,58,11585,11
STAFF-1420,Stacey Reynolds,32,18779,12
STAFF-1421,Reginald Case,72,3666,11
STAFF-1422,Rhonda Brown,81,7653,11
STAFF-1423,Victoria Ford,100,7568,13
STAFF-1424,Mary Todd,97,10261,16
STAFF-1425,Brianna Casey,86,21831,14
STAFF-1426,Ryan Meyer,58,4992,15
STAFF-1427,Amy Russell,95,24852,12
STAFF-1428,Joshua Howell,52,15986,11
STAFF-1429,Lisa Herring,68,15182,12
STAFF-1430,Hector Mullins,55,21530,17
STAFF-1431,Eric Holt,64,5323,11
STAFF-1432,Alexandra Woods,70,19002,13
STAFF-1433,Cameron Maxwell,34,12147,15
STAFF-1434,Ryan Gillespie Jr.,31,4567,13
STAFF-1435,Steven Roberts,89,16019,13
STAFF-1436,Regina Wiley,47,15318,14
STAFF-1437,Audrey Chen,84,22930,12
STAFF-1438,Sara Quinn,95,11740,11
STAFF-1439,Oscar Jennings,70,18420,12
STAFF-1440,Lisa Gonzalez,69,6889,11
STAFF-1441,Jennifer Collins,69,26619,12
STAFF-1442,Kevin White,79,15999,17
STAFF-1443,Anthony Davis,84,23352,11
STAFF-1444,Morgan Brooks,99,11092,12
STAFF-1445,David Patterson MD,94,21081,13
STAFF-1446,Paul Parsons,38,15587,16
STAFF-1447,Darren Johnson,89,16998,11
STAFF-1448,Bruce Marshall,63,21075,11
STAFF-1449,Timothy Sanders,56,3157,15
STAFF-1450,Justin Pollard,36,26124,14
STAFF-1451,Rebecca Fitzgerald,51,7324,17
STAFF-1452,Patricia Mcmahon,73,3339,14
STAFF-1453,James Rios,93,20586,11
STAFF-1454,Brandi Torres MD,39,16586,13
STAFF-1455,Daniel Cohen,59,22098,14
STAFF-1456,Marissa Jackson,96,8658,13
STAFF-1457,Angela Williams,66,5843,13
STAFF-1458,Erin Sloan,82,26186,12
STAFF-1459,Christopher Bruce,84,13492,18
STAFF-1460,Jennifer Anderson,66,10842,22
STAFF-1461,Samuel Lopez,64,14011,21
STAFF-1462,Jeffrey Robertson,97,22710,20
STAFF-1463,Robert Underwood,54,17181,23
STAFF-1464,Jessica Bell,40,7815,23
STAFF-1465,Nicole Barnes,74,10092,20
STAFF-1466,Tommy Wolfe,85,14460,23
STAFF-1467,Christine Roberts,73,14753,24
STAFF-1468,Ashley Massey,36,10414,24
STAFF-1469,Justin Smith,75,26092,23
STAFF-1470,Aaron Brooks,99,25103,21
STAFF-1471,Christine Bailey,96,7324,13
STAFF-1472,Alexander Ramos,78,22021,16
STAFF-1473,Brett Clark,45,4306,11
STAFF-1474,Joann Bradford,96,8232,18
STAFF-1475,Charles Gallagher,82,6986,23
STAFF-1476,Gabriel Barnes MD,53,21293,11
STAFF-1477,Valerie Young,96,19281,14
STAFF-1478,Brian Weber,83,17102,11
STAFF-1479,Jerome Johnson,58,10735,11
STAFF-1480,Tammy Baird,72,4681,22
STAFF-1481,James Weber,48,21173,11
STAFF-1482,Yolanda Carter,42,2094,14
STAFF-1483,Jesse Brown,83,22822,12
STAFF-1484,Patricia Young,78,6670,11
STAFF-1485,James Blankenship,41,19121,13
STAFF-1486,Jeremiah Irwin,83,16117,13
STAFF-1487,Kristin Campbell,56,3335,14
STAFF-1488,Mr. Dylan Hernandez,61,3020,16
STAFF-1489,Kyle Taylor,72,21923,12
STAFF-1490,Larry Davis,86,3810,14
STAFF-1491,Aaron Hampton,97,9687,13
STAFF-1492,John Everett,82,13072,14
STAFF-1493,Eddie Graham,42,3193,19
STAFF-1494,Calvin Osborne,75,10910,12
STAFF-1495,Valerie Hernandez,33,19715,13
STAFF-1496,Michael Johnson,48,10558,12
STAFF-1497,Annette Chandler,37,2975,15
STAFF-1498,James Warner,58,10781,23
STAFF-1499,Amanda Hart,49,16280,12
STAFF-1500,Ray Joseph,72,10034,20
STAFF-1501,Sara Smith,73,10227,21
STAFF-1502,Tanya Morris,98,20445,21
STAFF-1503,Christopher Ellis,36,4892,19
STAFF-1504,Amber Miller,98,19294,13
STAFF-1505,Zachary Ortega,50,11179,13
STAFF-1506,William Rodriguez,75,4009,21
STAFF-1507,Dylan Summers,79,8302,13
STAFF-1508,Wesley Fitzgerald MD,47,21436,19
STAFF-1509,Lauren Everett,98,15146,12
STAFF-1510,Donald Garcia,71,11031,22
STAFF-1511,Rebecca Miller,30,16002,15
STAFF-1512,Joshua Donaldson,48,9528,22
STAFF-1513,Gary Adams,51,2689,18
STAFF-1514,David Diaz,33,10877,22
STAFF-1515,Jamie Watson,50,5456,11
STAFF-1516,Christina Torres,43,16701,12
STAFF-1517,Leonard Meyers,99,2354,11
STAFF-1518,Donald Graham,59,8202,13
STAFF-1519,Jennifer Scott,33,19730,14
STAFF-1520,Denise Cruz,95,22656,13
STAFF-1521,Shannon Moore,59,18787,17
STAFF-1522,Stephanie Johnson,79,5868,13
STAFF-1523,Crystal Scott,79,21777,17
STAFF-1524,William Crawford,57,24668,11
STAFF-1525,Christopher Russell,76,4956,23
STAFF-1526,Ruth Sanford,87,18775,17
STAFF-1527,Nathan Martinez,66,7346,17
STAFF-1528,Gary Perez,55,22002,12
STAFF-1529,Tony Wang,61,20682,23
STAFF-1530,Jonathan Ramsey,32,23016,14
STAFF-1531,Leslie Stafford,52,15067,14
STAFF-1532,Rhonda Carter,30,25258,13
STAFF-1533,Daniel Lopez,80,10425,22
STAFF-1534,Alyssa Walters,55,15998,12
STAFF-1535,Anthony Torres,30,26278,18
STAFF-1536,Stacy Walsh,70,18092,14
STAFF-1537,Ryan Luna,79,15717,12
STAFF-1538,Jennifer Walker,94,17736,15
STAFF-1539,Timothy Bradley,49,21698,11
STAFF-1540,Carly Morris,62,9518,13
STAFF-1541,Rachel Schwartz,96,18725,23
STAFF-1542,Joseph Wright,99,15830,19
STAFF-1543,Erin Nguyen,64,13596,16
STAFF-1544,Stephen Rodriguez,78,14115,22
STAFF-1545,Peter Johnson,71,8423,22
STAFF-1546,Zachary Cameron,63,19760,12
STAFF-1547,Linda Mitchell,40,3142,13
STAFF-1548,Jacob Phillips,87,24301,16
STAFF-1549,April Cabrera,60,24001,12
STAFF-1550,Alexis Mcdowell,33,17519,21
STAFF-1551,David Chan,43,8863,15
STAFF-1552,Amy Gutierrez,37,24409,13
STAFF-1553,Lindsey Pratt,67,25043,12
STAFF-1554,Trevor Nelson,63,23648,22
STAFF-1555,Zachary Patterson,71,15178,13
STAFF-1556,Michael Johnson,66,19783,18
STAFF-1557,Lucas Weber,41,12482,14
STAFF-1558,Taylor Henry,100,15850,14
STAFF-1559,Whitney Miller,32,21922,21
STAFF-1560,Crystal Berry,73,9755,19
STAFF-1561,Dr. Catherine Simmons,46,26959,11
STAFF-1562,Travis Smith,64,26897,11
STAFF-1563,Lisa Morris,59,23785,15
STAFF-1564,Brian Rivera,30,25796,20
STAFF-1565,Jared Bradley,66,22887,24
STAFF-1566,Eric Wilkins,30,13871,12
STAFF-1567,Mary Macias,52,13257,12
STAFF-1568,William Williams,45,15000,15
STAFF-1569,Dawn Henderson,87,14506,12
STAFF-1570,Chelsea Snow,45,5615,12
STAFF-1571,Michael Smith,92,22952,14
STAFF-1572,Scott Newman,39,2561,22
STAFF-1573,Christian Scott,92,19494,12
STAFF-1574,Dean Mcknight,96,22310,25
STAFF-1575,Alex Rubio,95,15480,13
STAFF-1576,Shane Marshall,72,4510,18
STAFF-1577,Bruce Jordan,51,6462,13
STAFF-1578,Michelle Kidd,76,20739,18
STAFF-1579,Susan Powell,46,23300,19
STAFF-1580,Amy Mccoy,94,3465,12
STAFF-1581,Andrew Gregory,50,26820,19
STAFF-1582,Matthew Ponce,100,19299,14
STAFF-1583,Ashley Burton,96,5549,14
STAFF-1584,Mr. Mark Johnson,72,16090,12
STAFF-1585,Steven Perez,77,6645,11
STAFF-1586,Toni Kramer,71,24788,11
STAFF-1587,William Moore,96,21196,13
STAFF-1588,Brandon Pearson,61,8916,23
STAFF-1589,Michelle Dickson,84,2819,20
STAFF-1590,Tammy Austin,53,25150,15
STAFF-1591,Jill Humphrey,47,14590,14
STAFF-1592,Ellen Santiago,41,24835,18
STAFF-1593,Peter Gould,48,13982,19
STAFF-1594,Samantha Hickman,41,10224,22
STAFF-1595,Alexander Allen,83,9752,13
STAFF-1596,Robert Baldwin,32,2302,20
STAFF-1597,Elizabeth Horton,75,23910,14
STAFF-1598,Deborah Galloway,35,22812,17
STAFF-1599,Jennifer Young,84,10415,14
STAFF-1600,Nicholas Bird,35,11162,13
STAFF-1601,Patrick Cruz,91,12888,13
STAFF-1602,Chad Harrison,94,6961,21
STAFF-1603,Kimberly Horne,79,16102,14
STAFF-1604,Juan Hall,54,8504,11
STAFF-1605,Joy Franklin,94,11439,13
STAFF-1606,Jason Charles,34,16047,20
STAFF-1607,Elizabeth King,60,10901,18
STAFF-1608,Nicholas Jones,43,15589,14
STAFF-1609,Jessica Coleman,41,26283,13
STAFF-1610,Betty Sanders,34,13983,17
STAFF-1611,Melissa Jones,75,11873,20
STAFF-1612,Dr. Juan Jones,67,8552,11
STAFF-1613,Brandon Warner,75,11314,18
STAFF-1614,Gloria Garrett,80,11992,24
STAFF-1615,Audrey Rodriguez,57,5970,18
STAFF-1616,Chad Trujillo,42,6672,11
STAFF-1617,Elizabeth Mcknight,83,23402,16
STAFF-1618,Catherine Patton,79,25326,15
STAFF-1619,Michelle Miller,53,17053,15
STAFF-1620,Nathan Caldwell,56,4609,12
STAFF-1621,Kimberly Cunningham,41,8053,12
STAFF-1622,Julia Hopkins,59,12930,22
STAFF-1623,Margaret Harvey,43,12430,20
STAFF-1624,Mike Kennedy,51,13364,16
STAFF-1625,Mary Navarro,100,20989,21
STAFF-1626,Alexis Simpson,30,15062,12
STAFF-1627,Erika Chandler,66,11012,11
STAFF-1628,Laura Phelps,30,6319,11
STAFF-1629,Angela Carlson,67,13939,18
STAFF-1630,David Dorsey,90,10515,14
STAFF-1631,Jennifer Smith,47,9241,22
STAFF-1632,Steven Scott,92,2137,25
STAFF-1633,Nicholas Taylor,75,6319,12
STAFF-1634,Brittany Levy,95,6984,23
STAFF-1635,Martin Garcia,95,5711,15
STAFF-1636,Andrea Kelly,70,21728,22
STAFF-1637,Michael Kennedy,86,3425,15
STAFF-1638,Leah Williams,57,26250,11
STAFF-1639,Stephanie Costa,72,4673,13
STAFF-1640,Andrea Tucker,46,6499,14
STAFF-1641,Linda Sanders,61,13339,11
STAFF-1642,Erin Holt,45,14074,17
STAFF-1643,Elizabeth Fowler,98,7192,18
STAFF-1644,Daniel Mccormick,65,5678,14
STAFF-1645,William Johnston,99,11781,16
STAFF-1646,Adam Alexander,50,15497,13
STAFF-1647,James Fox MD,37,5228,14
STAFF-1648,Charles Jones,65,20462,23
STAFF-1649,Stephen Delacruz,65,22977,12
STAFF-1650,Mr. Steven Lopez PhD,37,15986,11
STAFF-1651,Bryan Crosby,36,16439,16
STAFF-1652,Kimberly Hudson,88,7259,14
STAFF-1653,Natasha Rice,54,4185,18
STAFF-1654,Kelsey Robinson MD,60,9679,19
STAFF-1655,Michael Lynch,92,23793,15
STAFF-1656,Ashley Carter,43,5972,17
STAFF-1657,Erica Williamson,99,16523,15
STAFF-1658,Michael Ramirez,70,11354,19
STAFF-1659,Anna Bell,35,24525,22
STAFF-1660,Nicole Hill,60,12392,16
STAFF-1661,Paul Ortega,73,7703,13
STAFF-1662,Zachary Hanson,63,14242,14
STAFF-1663,Diana Steele,97,12368,16
STAFF-1664,Dorothy Cannon,32,25812,11
STAFF-1665,Cody Frazier,88,20925,22
STAFF-1666,Timothy Boyd,90,12916,14
STAFF-1667,Christopher Roberts,81,15736,16
STAFF-1668,Lisa Wilkins,88,8556,11
STAFF-1669,Nicholas Perez,75,14674,18
STAFF-1670,Colleen Colon,52,22967,15
STAFF-1671,Matthew Clark,85,19757,14
STAFF-1672,Tanner Ramos,57,16840,12
STAFF-1673,Ronnie Contreras,52,17011,14
STAFF-1674,Bryce Smith,62,9945,16
STAFF-1675,Jasmine Stout,47,13248,21
STAFF-1676,Russell Mccullough,47,10056,14
STAFF-1677,David Brandt,76,9647,12
STAFF-1678,Andrew Decker,90,4381,12
STAFF-1679,Terry Pena,70,8456,17
STAFF-1680,Robert Green,41,2539,17
STAFF-1681,Heather Wilson,42,6599,14
STAFF-1682,Angela Navarro,92,9096,14
STAFF-1683,Amy Mckee,86,14961,13
STAFF-1684,Scott Johnson,89,3300,15
STAFF-1685,Peter Drake,58,4933,11
STAFF-1686,Brian Blevins,52,25657,17
STAFF-1687,Michael Fernandez,68,24118,11
STAFF-1688,Ashley Kemp,58,22149,13
STAFF-1689,Jessica Marsh,80,7744,22
STAFF-1690,Justin Lawrence,39,21509,20
STAFF-1691,Michael Tucker,79,21030,18
STAFF-1692,Amber Lee,56,20990,11
STAFF-1693,David Richardson,62,9571,14
STAFF-1694,Sarah Norman,96,15417,14
STAFF-1695,Debra Thomas,100,12069,18
STAFF-1696,Andrew Frazier,36,19877,16
STAFF-1697,Gerald Morris,62,24447,17
STAFF-1698,Joseph Reid,70,15970,11
STAFF-1699,Emma Romero,73,13523,12
STAFF-1700,Lauren Aguilar,63,14776,13
STAFF-1701,Mark Marshall,84,23687,13
STAFF-1702,Eric Cabrera,83,18697,14
STAFF-1703,Andre Marsh,77,5118,17
STAFF-1704,Courtney Bond,61,22573,11
STAFF-1705,Samantha Foster,64,6420,25
STAFF-1706,Derrick Powell,60,22673,19
STAFF-1707,Meghan Morris,82,23016,13
STAFF-1708,Julia Gonzalez,45,10732,14
STAFF-1709,Michael Collins,62,7505,12
STAFF-1710,Thomas Pratt,56,8007,11
STAFF-1711,Charles Welch,49,5949,19
STAFF-1712,Richard Bell,96,23231,11
STAFF-1713,Robin Williams,71,11652,11
STAFF-1714,Sarah Miller,100,26062,20
STAFF-1715,Brian Garcia,39,19682,18
STAFF-1716,Jennifer Daniels,84,19737,13
STAFF-1717,Jessica Anderson,75,14977,12
STAFF-1718,Samuel Anderson,79,14935,11
STAFF-1719,Sabrina Shah,78,3687,19
STAFF-1720,Andre Cook,64,14408,21
STAFF-1721,Melissa Graham,85,18384,12
STAFF-1722,Stephanie Jensen,79,7501,14
STAFF-1723,Theresa Clarke,47,20251,11
STAFF-1724,Summer Miles,81,18938,14
STAFF-1725,Phillip Lowe,88,10268,12
STAFF-1726,Katherine Klein,94,2613,23
STAFF-1727,Cheryl Allen,98,22825,14
STAFF-1728,Warren Williams,100,10531,17
STAFF-1729,Jessica Norman,80,11677,18
STAFF-1730,Patricia Carey,71,19100,18
STAFF-1731,Richard Curtis,44,19191,24
STAFF-1732,Devon Evans,84,26767,20
STAFF-1733,Zachary Clark,96,15815,14
STAFF-1734,Kathryn Stephenson,45,21016,16
STAFF-1735,Erin Perkins,99,24532,25
STAFF-1736,Jeffrey Jacobs,44,20260,18
STAFF-1737,Melissa Alexander,37,15972,19
STAFF-1738,Robyn Leon,60,22722,13
STAFF-1739,Ashley Clark,42,15881,12
STAFF-1740,Rita Cruz,43,19920,22
STAFF-1741,Michael Brown,82,18899,14
STAFF-1742,Katelyn Smith,45,14180,13
STAFF-1743,Brandy Lopez,66,4488,21
STAFF-1744,Clayton Hernandez,35,25594,11
STAFF-1745,Caitlin Faulkner,30,26285,12
STAFF-1746,Barbara Miller,84,3909,11
STAFF-1747,Jennifer Lewis,48,8450,12
STAFF-1748,Seth Miller,53,11411,12
STAFF-1749,William Gallagher,77,14864,14
STAFF-1750,Amy Cantu,54,25233,13
STAFF-1751,Diana Sanchez,96,5100,15
STAFF-1752,Michael Mercer,81,7122,18
STAFF-1753,Brandi Rosario,84,16321,18
STAFF-1754,Alexander Zimmerman,88,15896,19
STAFF-1755,Colleen Harris,69,9724,12
STAFF-1756,Angel Preston,68,4824,19
STAFF-1757,Ms. Rhonda Stuart,100,12241,11
STAFF-1758,Kimberly Black,48,10942,17
STAFF-1759,Shannon Pena,47,6927,15
STAFF-1760,Jennifer Shelton,91,16985,14
STAFF-1761,Leah Ramirez,81,26707,17
STAFF-1762,Susan Green,32,17056,13
STAFF-1763,Jeffrey Hart,86,10077,12
STAFF-1764,Veronica Chapman,62,17822,12
STAFF-1765,Bryan Atkinson,97,20308,18
STAFF-1766,Matthew Wilson,32,7747,18
STAFF-1767,Tyler Reynolds,74,23364,11
STAFF-1768,David Hogan,99,5355,14
STAFF-1769,Albert Stone,33,10675,19
STAFF-1770,Nicholas Willis,90,17810,12
STAFF-1771,Stuart Beck,85,17747,15
STAFF-1772,Lisa Jackson DDS,85,20938,12
STAFF-1773,Victoria Powell,65,24624,11
STAFF-1774,Karen Nelson,74,5242,11
STAFF-1775,Brooke Hunter,73,7143,12
STAFF-1776,James Anderson,74,10557,16
STAFF-1777,Mrs. Sarah Lopez,84,24737,13
STAFF-1778,Luke Moore,64,11934,13
STAFF-1779,Jon Martinez,48,14034,24
STAFF-1780,Hannah Gonzalez,54,21141,15
STAFF-1781,Patrick Lara,41,17778,18
STAFF-1782,James Sellers,46,4317,14
STAFF-1783,Tracy Knapp,42,16375,11
STAFF-1784,Tiffany Oliver,82,6227,11
STAFF-1785,Jacob Moss,73,22107,13
STAFF-1786,Sarah Knox,31,16885,12
STAFF-1787,Brad Walker,43,9262,16
STAFF-1788,Isaiah Floyd,75,9278,14
STAFF-1789,Susan Oliver,57,13273,22
STAFF-1790,Jeffrey Garza,77,4759,11
STAFF-1791,Ana Robinson,30,7621,17
STAFF-1792,Patricia Baker,30,5431,13
STAFF-1793,Mary Pitts,56,3415,18
STAFF-1794,Danielle Riggs,61,23177,16
STAFF-1795,Steven Rodriguez,92,15682,14
STAFF-1796,Christopher Tucker,39,25713,14
STAFF-1797,Tiffany Burton,39,11866,14
STAFF-1798,Beverly Hanna,62,18264,13
STAFF-1799,Michael Saunders,83,16092,12
STAFF-1800,Tamara House,95,10110,15
STAFF-1801,Randy Williams,99,25751,19
STAFF-1802,Andrew Green,44,15901,14
STAFF-1803,Joe Prince,61,16928,14
STAFF-1804,Thomas Russell,52,24017,11
STAFF-1805,Jason Tucker,75,3956,13
STAFF-1806,Vanessa Scott,91,23978,21
STAFF-1807,Rebekah Scott,51,17001,13
STAFF-1808,Rachel Jackson,85,6069,12
STAFF-1809,Scott Lee,57,20156,17
STAFF-1810,Rachel Dunn,98,17078,23
STAFF-1811,Natalie Williams,99,9150,11
STAFF-1812,Shannon Henson,45,15276,15
STAFF-1813,Megan Smith,48,7246,11
STAFF-1814,Stephanie Watts,88,2967,11
STAFF-1815,Jacqueline Brooks,46,22495,13
STAFF-1816,Matthew Jefferson,39,2851,24
STAFF-1817,Andrew Malone,34,9150,13
STAFF-1818,Kevin Schroeder,98,17663,20
STAFF-1819,Raven Dixon,30,16044,14
STAFF-1820,Jonathan Cummings,56,9558,18
STAFF-1821,Brianna Hernandez,100,2755,15
STAFF-1822,Michael Cook,68,6110,12
STAFF-1823,Luis Davis,42,7551,16
STAFF-1824,Nicole Anderson,90,25422,15
